Name,x,y,Gender-neutral bathroom floors,Accessible restroom floors,Elevator access to all floors?
Aerodynamics Laboratory,2271,1597,None,None,All
Aerospace Engineering Research,2233,1638,B 1 2 3 4,2,All
Alaska Airlines Arena at HEC Edmundson Pavilion,2641,1966,None,None,All
Alder Commons,,,None,None,All
Alder Hall,,,None,None,All
Allen Library North,2049,1338,None,All,All
Allen Library South,2087,1387,None,1 4,All
Anderson Hall,2020,2033,2,None,All
Architecture Hall,1620,1538,2,1 2,All
Area 01,,,None,None,All
Art Building,2134,882,B 1,1 2,All
Atmospheric Sciences and Geophysics,1839,1629,None,2,All
Bagley Hall,1872,1731,None,1,All
Bank of America Executive Education Center,,,None,1 2 4,All
Benson Hall,1783,1807,3,1,All
Bill & Melinda Gates Center for CSE,,,None,None,All
Bloedel Hall,2009,2115,None,1,All
Brooklyn Trail Building,1168,1521,1,None,All
Burke museum,1582,476,1,None,All
By George,1675,1252,None,None,All
Cedar Apartments West,,,None,None,All
Cedar Apartments East,,,None,None,All
Haring Center on Human Development and Disability School,2011,2653,None,None,All
Center Table,,,None,None,All
CHDD Clinic,1921,2609,None,None,All
CHDD South,1886,2666,None,None,All
Chemistry Building,1928,1819,None,All,All
Chemistry Library,1733,1698,None,1 2,All
Child Care Center,1109,1463,None,None,All
Clark Hall,2337,1002,None,All,All
Communications Building,2276,1120,B,1 2,All
Community Design Center,1307,1429,None,None,All
Condon Hall,1011,1183,None,None,All
Conibear Shellhouse,2948,1830,None,None,All
Cultivate Restaurant,,,None,None,All
Cunningham Hall,1728,1578,1,None,All
Dempsey Hall,,,None,All,All
Dempsey Indoor Center,,,None,None,All
Denny Hall,1870,871,1,All,All
DM: District Market,,,None,None,All
Drama Scene Shop,1304,1468,None,None,All
Drumheller Fountain,1992,1665,None,None,All
Eagleson Hall,1450,920,1 3,1,All
Electrical Engineering,2139,1709,None,All,All
Elm Hall,,,None,None,All
Engineering Library,2380,1530,4,4,All
Ethnic Cultural Center,1167,1455,1 2 3,None,All
Ethnic Cultural Center Annex,1230,1473,None,None,All
Ethnic Cultural Center Theatre,1241,1434,None,None,All
Facilities Services Administration Building,2414,1453,None,None,All
Fishery Science,995,1765,1 2 3,All,All
Fisheries Teaching and Research Building,1066,1893,None,All,All
Fluke Hall,2528,1321,None,None,All
Foege Bioengineering,1435,1916,None,All,All
Foege Genome Sciences,1366,2006,4,1,All
Gerberding Hall,1800,1405,None,1,All
Gould Hall,1409,1476,B,B 1 3,All
Gowen Hall,1995,1218,2,1 2 3,All
Grave's Annex,2794,1933,None,None,All
Graves Hall,2646,1806,None,None,All
Greenhouse,,,None,None,All
Guggenheim Annex,2152,1537,None,None,All
Guggenheim Hall,2165,1595,None,All,All
Guthrie Hall,1626,1644,B,1,All
Haggett Hall,2480,714,None,None,All
Hall Health Center,2426,1256,1,1 2,All
Hansee Hall,2145,443,None,None,All
Harris Hydraulics Lab,1550,2338,None,None,All
Henderson Hall,908,1426,None,None,All
Henry Art Gallery,1535,1201,None,2,All
HFS: Housing and Food Services,,,None,None,All
Hitchcock Hall,1552,2007,None,All,All
HUB: Husky Union Building,2300,1407,3,B 1 2 3,All
