Short Name,Long Name,x,y,Type of entrance? (Unaccessible or Assisted or Manual)
ACC,Wallace Hall,1178,1790,M
ACC (W),Wallace Hall (W),1142,1805,M
ADL,Aerodynamics Laboratory,2263,1594,M
AERB,Aerospace Engineering Research,2214,1631,U
AERB (N),Aerospace Engineering Research (N),2218,1615,M
AERB (NE),Aerospace Engineering Research (NE),2244,1619,A
AERB (SE),Aerospace Engineering Research (SE),2257,1647,U
AERB (SW),Aerospace Engineering Research (SW),2227,1660,U
AHC,Alder Commons,1250,1379,A
ALB North,Allen Library North,2072,1352,A
ALB North (N),Allen Library North (N),2048,1313,A
ALB South,Allen Library South,2080,1367,A
ALD,Alder Hall,1283,1320,A
AND,Anderson Hall,2020.2,2027.3,U
AND (E),Anderson Hall (E),2062,2048.2,U
AR01,Area 01,1057,1344,A
AR01 (S),Area 01 (S),1042,1385,A
ARC,Architecture Hall,1654,1536,U
ARC (W),Architecture Hall (W),1619,1522,A
ART,Art Building,2171,930,A
ART (E),Art Building (E),2200,870,M
ART (N),Art Building (N),2187,822,A
ART (W),Art Building (W),2112,853,A
ATG,Atmospheric Sciences and Geophysics,1846,1644.2,M
ATG (E),Atmospheric Sciences and Geophysics (E),1909,1595,A
ATG (N),Atmospheric Sciences and Geophysics (N),1881,1595,A
ATG (S),Atmospheric Sciences and Geophysics (W),1805,1632,M
ATG (SW),Atmospheric Sciences and Geophysics (SW),1799,1664,A
BAEEC,Bank of America Executive Education Center,1988,653,M
BAEEC (S),Bank of America Executive Education Center (S),1998,686,A
BAG,Bagley Hall,1914.5,1709.8,A
BAG (NE),Bagley Hall (Northeast Entrance),1878.3,1661.4,U
BAG (S),Bagley Hall (S),1878,1770,M
BAG (SE),Bagley Hall (SE),1928,1769,A
BGR,By George,1671.5,1258.4,A
BGR (W),By George (W),1636,1236,M
BIOE,Foege Bioengineering,1426,1960,A
BLD,Bloedel Hall,2021,2104,A
BLD (S),Bloedel Hall (S),1998,2128,M
BLD (SW),Bloedel Hall (SW),1970,2139,A
BNS,Benson Hall,1796,1832,A
BNS (SW),Benson Hall (SW),1765,1833,M
BRK,Burke museum,1583,549,M
CCC,Child Care Center,1095,1461,M
CDB,Community Design Center,1288,1431,M
CDB (E),Community Design Center (E),1322,1433,M
CDH,Condon Hall,1046,1212,U
CDH (NE),Condon Hall (NE),1031,1153,A
CDH (NW),Condon Hall (NW),981,1153,M
CDH (W),Condon Hall (W),967,1195,A
CDRE,Cedar Apartments East,1047,1122,A
CDRE (SW),Cedar Apartments East (SW),1028,1122,A
CDRW,Cedar Apartments West,971,1122,A
CDRW (SE),Cedar Apartments West (SE),992,1122,A
CHB,Chemistry Building,1932,1778,A
CHB (S),Chemistry Building (S),1909,1879,A
CHB (SW),Chemistry Building (SW),1899,1828,M
CHCL,CHDD Clinic,1961.1,2566.6,A
CHCL (NE),CHDD Clinic (NE),1969.6,2592.4,A
CHCL (NW),CHDD Clinic (NW),1939,2578,A
CHCL (S),CHDD Clinic (S),1912,2646,A
CHCL (SE),CHDD Clinic (SE),1933,2644,M
CHCL (SW),CHDD Clinic (SW),1915,2613,A
CHL,Chemistry Library,1746,1672.5,U
CHL (NW),Chemistry Library (NW),1707.6,1671.5,U
CHL (S),Chemistry Library (S),1752,1731,M
CHL (SE),Chemistry Library (SE),1762.7,1708.8,A
CHL (SW),Chemistry Library (SW),1728,1717,A
CHSB,CHDD South,1904,2657,A
CHSC,Haring Center on Human Development and Disability School,2031.5,2632,U
CHSC (E),Haring Center on Human Development and Disability School (E),2105,2693,M
CHSC (NW),Haring Center on Human Development and Disability School (NW),1992.2,2608.3,A
CHSC (W),Haring Center on Human Development and Disability School (W),1954,2656,M
CLK,Clark Hall,2326.1,1001.1,A
CMU,Communications Building,2331,1107,A
CMU (S),Communications Building (S),2265,1158,M
CMU (W),Communications Building (W),2280,1095,A
CRB,Cultivate Restaurant,1164,1184,M
CSE,Paul G. Allen Center for CSE,2259.7,1715.5,A
CSE (NW),Paul G. Allen Center for CSE (NW),2172,1698,A
CSE (W),Paul G. Allen Center for CSE (W),2186,1738,A
CSE2,Bill & Melinda Gates Center for CSE,2339,1787,A
CSE2 (E),Bill & Melinda Gates Center for CSE (E),2439,1838,A
CSE2 (NE),Bill & Melinda Gates Center for CSE (NE),2403,1846,A
CSE2 (SE),Bill & Melinda Gates Center for CSE (SE),2453,1854,A
CSE2 (W),Bill & Melinda Gates Center for CSE (W),2314,1826,A
CSH,Conibear Shellhouse,2929,1843,M
CSH (S),Conibear Shellhouse (S),2942,1866,A
CTB,Center Table,2383,609,A
CTB (S),Center Table (S),2410,642,A
DEM,Dempsey Hall,2028,738,A
DEM (N),Dempsey Hall (N),2004,709,M
DEM (W),Dempsey Hall (W),1964,755,A
DEN,Denny Hall,1890,892.5,U
DEN (W),Denny Hall (W),1845,914,A
DM,District Market,1323,1321,A
DM (W),District Market (W),1297.7,1319,M
DSC,Drama Scene Shop,1326,1472,M
ECC,Ethnic Cultural Center,1179,1418,A
ECT,Ethnic Cultural Center Theatre,1223,1432,A
ECT (N),Ethnic Cultural Center Theatre (N),1250,1421,A
ECT (S),Ethnic Cultural Center Theatre (S),1223,1460,A
EDP,Alaska Airlines Arena at HEC Edmundson Pavilion,2574,2007,A
EDP (E),Alaska Airlines Arena at HEC Edmundson Pavilion (E),2715,1932.4,U
EDP (N),Alaska Airlines Arena at HEC Edmundson Pavilion (N),2621,1904,M
EDP (NW),Alaska Airlines Arena at HEC Edmundson Pavilion (NW),2590,1902,M
EEB,Electrical Engineering,2154,1699,A
EEB (S),Electrical Engineering (S),2135.2,1741.5,M
EGA,Mechanical Engineering Annex,2406,1626,M
EGA (W),Mechanical Engineering Annex (W),2390,1690,U
EGL,Eagleson Hall,1473,930,A
EGL (S),Eagleson Hall (S),1455,937,A
ELB,Engineering Library,2360.2,1549.1,A
ELM,Elm Hall,1125,1229,A
ELM (E),Elm Hall (NE),1137,1190,A
FAB,Facilities Services Administration Building,2407,1446,M
FAB (S),Facilities Services Administration Building (S),2410,1476,M
FAC,UW Club,2404.2,1356.7,A
FLK,Fluke Hall,2537,1272,A
FLK (E),Fluke Hall (E),2564,1326,U
FLK (NE),Fluke Hall (NE),2569,1295,U
FLK (SE),Fluke Hall (SE),2557,1362,U
FSH,Fisheries Science,1048,1773,U
FSH (E),Fisheries Science (E),991,1781,A
FSH (S),Fisheries Science (S),971,1845,M
FTR,Fisheries Teaching and Research Building,1066,1919,U
FTR (E),Fisheries Teaching and Research Building (E),1093,1906,A
FTR (N),Fisheries Teaching and Research Building (N),1068,1872,A
FTR (W),Fisheries Teaching and Research Building (W),1044,1907,U
GAB,Grave's Annex,2778,1900,A
GAB (E),Grave's Annex (E),2824,1916,A
GLD,Gould Hall,1445.3,1448.5,U
GLD (NW),Gould Hall (NW),1381.6,1448.4,U
GLD (W),Gould Hall (W),1363,1473,A
GNOM,Foege Genome Sciences,1412,1978,A
GNOM (S),Foege Genome Sciences (S),1354,2053,A
GNOM (W),Foege Genome Sciences (W),1327,2019,A
GRB,Gerberding Hall,1800,1390,M
GRB (S),Gerberding Hall (S),1828.3,1434.6,A
GTH,Guthrie Hall,1657.5,1656.1,A
GUA,Guggenheim Annex,2150,1531,U
GUA (W),Guggenheim Annex (W),2134,1549,M
GUG,Guggenheim Hall,2142,1601,U
GUG (E),Guggenheim Hall (E),2207,1597,A
GUG (SW),Guggenheim Hall (SW),2151,1625,A
GWN,Gowen Hall,2011,1212,M
GWN (S),Gowen Hall (S),2027,1250,A
GWN (W),Gowen Hall (W),1977,1219,U
HAG,Henry Art Gallery,1536,1226,A
HCK,Hitchcock Hall,1577.7,2020.2,M
HCK (N),Hitchcock Hall (N),1543.2,1979.9,M
HFS,Housing and Food Services,913,1344,A
HGT,Haggett Hall,2464.7,702,A
HGT (NE),Haggett Hall (NE),2501.4,703.4,M
HGT (SE),Haggett Hall (SE),2501.4,732.6,M
HGT (SW),Haggett Hall (SW),2465,733.6,M
HHL,Harris Hydraulics Lab,1580,2313,M
HHL (W),Harris Hydraulics Lab (W),1549,2317,U
HLL,Hall Health Center,2403,1260.6,A
HND,Henderson Hall,953,1431,A
HND,Henderson Hall (W),871,1426,A
HNS,Hansee Hall,2145,451,A
HPT,Hughes Penthouse Theatre,1947,438,A
HRC,Population Health Building,1542,1499,A
HRC (E),Population Health Building (E),1545,1587,A
HRC (NW),Population Health Building (NW),1513,1488,A
HRC (S),Population Health Building (S),1509,1627,A
HSBB,UW Medical Center,1995,2369,A
HSBB (NE),UW Medical Center (NE),2123,2447,A
HST,Magnuson Health Science Center,1846.1,2163.9,A
HST (NW),Magnuson Health Science Center (NW),1711.2,2148,A
HST (S),Magnuson Health Science Center (S),1893,2252,A
HST (SE),Magnuson Health Science Center (SE),1942,2255,M
HUB,Husky Union Building,2269.7,1364.3,A
HUB (E),Husky Union Building (E),2350,1435,A
HUB (N),Husky Union Building (N),2302.2,1316.7,A
HUB (S),Husky Union Building (S),2307,1474,A
HUB (SE),Husky Union Building (SE),2329,1458,M
HUB (SW),Husky Union Building (SW),2263.2,1470.4,A
HUB (W),Husky Union Building (W),2254,1440.1,U
HUT,Hutchinson Hall,2123.5,679.7,U
HUT (E),Hutchinson Hall (E),2169,662,M
HUT (NW),Hutchinson Hall (NW),2088,624,A
IMA,Intramural Activities,2722.3,1710.2,A
INT,Intellectual House,2349,878,A
IPF,Dempsey Indoor Center,2923,2113,A
JHN,Johnson Hall,1844,1491,A
JHN (W),Johnson Hall (W),1832,1527,A
KIN,Kincaid Hall,1693,1858,U
KIN,Kincaid Hall,1647.8,1850.3,A
KIN (SE),Kincaid Hall (SE),1672,1898,M
KIN (SW),Kincaid Hall (SW),1645.7,1897.7,A
KIR,Kirsten Wind Tunnel,2213,1571,M
KNE,Kane Hall,1818,1213,A
KNE (E),Kane Hall (E),1874.3,1212.4,A
KNE (N),Kane Hall (N),1832,1135,A
KNE (NE),Kane Hall (NE),1876.6,1165.2,A
LAN,Lander Hall,1099,1307,A
LAN (NE),Lander Hall (NE),1180,1307,A
LAW,William H. Gates Law Building,1706,715,A
LAW (NW),William H. Gates Law Building (NW),1563,692,A
LCP,Local Point,1083,1344,A
LCP (SE),Local Point (SE),1167,1388,A
LCP (SW),Local Point (SW),1097,1388,A
LEW,Lewis Hall,2278.6,801,U
LEW (E),Lewis Hall (E),2297,794,A
LNDMK-0,Drumheller Fountain,1974.3,1625.3,A
LNDMK-1,The Quad,2065.7,1067.7,A
LNDMK-2,Red Square,1783,1302,A
LOW,Loew Hall,2375.6,1576.1,A
LOW (S),Loew Hall (S),2374,1618,U
LSB,Life Sciences Building,1716,1900,A
LSB (W),Life Sciences Building (W),1698,1924,A
MAH,Maple Hall,1036,1304,A
MAH (NW),Maple Hall (NW),972,1304,A
MAH (SW),Maple Hall (SW),961,1385,A
MAH (W),Maple Hall (W),949,1330,A
MAR,Marine Studies,1164,1938,M
MCC,McCarty Hall,2288,493,A
MCC (S),McCarty Hall (S),2352,498,A
MCM,McMahon,2444,918,A
MDR,Madrona Hall,2303,592,A
MEB,Mechanical Engineering,2355,1626,A
MEB (E),Mechanical Engineering (E),2380,1735,A
MEB (S),Mechanical Engineering (S),2352,1743,U
MGH,Mary Gates Hall,1973.1,1433.6,A
MGH (E),Mary Gates Hall (E),2043.1,1514.9,A
MGH (S),Mary Gates Hall (S),2053,1554,U
MGH (SW),Mary Gates Hall (SW),1971.6,1551.6,U
MGH (W),Mary Gates Hall (W),1942.3,1472.7,A
MLR,Miller Hall,2184.7,1045,A
MLR (E),Miller Hall (E),2200,1069,U
MLR (S),Miller Hall (S),2150,1119,U
MLR (SW),Miller Hall (SW),2130.1,1121.8,U
MNY,Meany Hall (N),1658.9,1295.8,M
MNY (E lower),Meany Hall (E lower),1697,1380,M
MNY (E upper),Meany Hall (E upper),1702,1380,M
MNY (NE lower),Meany Hall (NE lower),1684.1,1297,M
MNY (NE upper),Meany Hall (NE upper),1692,1304,A
