Start x,Start y,End x,End y,Nav. by wheelchair?,No Stairs?
2135.6,1969.9,2106.8,1980.9,T,T
2248.8,1845.3,2249.6,1849.4,T,T
2183.9,1917.8,2155.6,1936.6,T,T
2254.7,1842,2249.6,1849.4,T,T
2286.6,1825.6,2270.3,1816.1,T,T
1434,621.6,1425,622.2,T,T
2313.6,1764,2337,1767,T,T
2082.2,2044.9,2063,2009.5,T,T
2718,1358.4,2745.6,1382.2,T,T
2249.6,1849.4,2218.9,1886.7,T,T
2715.8,1389.8,2692.5,1407.6,T,T
2183.9,1917.8,2218.9,1886.7,T,T
2309,1788.7,2286.6,1825.6,T,T
2155.6,1936.6,2162.8,1955.5,T,T
2692.5,1407.6,2680.6,1429.3,T,T
2711.5,1271.2,2997.9,1230.8,T,T
1156.2,877.5,1207.3,877.8,T,T
1606.6,539,1602,439.2,T,T
1707.5,359,1696.7,358.6,T,T
1631.7,384.7,1719.2,385.4,T,T
2440.5,1607.8,2434.4,1737.2,T,T
2135.6,1969.9,2162.8,1955.5,T,T
2183.9,1917.8,2194.8,1931.9,T,T
2271.9,1847.4,2286.6,1825.6,T,T
2023,2071,2073,2066,T,T
619.8,1383.8,715.5,1420.6,T,T
2082.2,2044.9,2062,2048.2,T,T
2674.6,1453.6,2680.6,1429.3,T,T
1435,643.8,1423.1,643.3,T,T
2179.5,1945.8,2162.8,1955.5,T,T
2271.9,1847.4,2258.1,1865.8,T,T
1991,2176.9,1933,2143.6,T,T
1296.7,763.3,1295.7,797,T,T
1208.9,896.3,1155.5,894.6,T,T
2194.8,1931.9,2179.5,1945.8,T,T
2242.9,1885.6,2258.1,1865.8,T,T
1481.7,621,1434,621.6,T,T
1350.5,708.6,1349.5,749.8,T,T
2194.8,1931.9,2242.9,1885.6,T,T
2271.9,1847.4,2283.9,1855.6,T,T
2638.4,1252.8,2517.1,1851.5,T,T
2252.8,1891.3,2258.1,1865.8,T,T
2087.4,2055.2,2082.2,2044.9,T,T
2252.8,1891.3,2242.9,1885.6,T,T
1707.5,359,1757.1,359,T,T
2194.8,1931.9,2201.2,1952.1,T,T
1208.9,896.3,1207.3,877.8,T,T
2242.2,1899.8,2252.8,1891.3,T,T
